estate,estate_eng,estate_chi,age_5,t_pop,elderly_share,elder_dominant,time_label
10155,Tin King Estate,田景邨,1999,8579,0.23301084,TRUE,morning
20124,Tin Ma Court,天馬苑,1218,6034,0.201856148,TRUE,morning
20125,Tin Oi Court,天愛苑,585,3150,0.185714286,FALSE,non-morning
10156,Tin Ping Estate,天平邨,3549,15206,0.233394713,TRUE,morning
20126,Tin Shing Court,天盛苑,3309,18900,0.175079365,FALSE,non-morning
10157,Tin Shui (1) Estate,天瑞（１）邨,2518,13603,0.185106227,FALSE,non-morning
10158,Tin Shui (2) Estate,天瑞（２）邨,1813,10123,0.179097106,FALSE,non-morning
10159,Tin Tsz Estate,天慈邨,1646,8494,0.193783847,FALSE,non-morning
10160,Tin Wah Estate,天華邨,1474,10746,0.137167318,FALSE,non-morning
10161,Tin Wan Estate,田灣邨,2356,8491,0.277470263,TRUE,morning
10162,Tin Yan Estate,天恩邨,2216,10572,0.209610291,TRUE,morning
10163,Tin Yat Estate,天逸邨,1230,11665,0.105443635,FALSE,non-morning
20128,Tin Yau Court,天祐苑,953,5044,0.188937351,FALSE,non-morning
10164,Tin Yiu (1) Estate,天耀一邨,2709,12717,0.213021939,TRUE,morning
10165,Tin Yiu (2) Estate,天耀二邨,1832,11881,0.154195775,FALSE,non-morning
10166,Tin Yuet Estate,天悅邨,1997,11871,0.168225086,FALSE,non-morning
40017,Tivoli Garden,宏福花園,408,3381,0.120674357,FALSE,non-morning
20130,Tong Ming Court,唐明苑,1247,6029,0.206833637,TRUE,morning
61851,Tseung Kwan O Plaza,將軍澳廣場,774,7977,0.097028958,FALSE,non-morning
10167,Tsing Yi Estate,青衣邨,2638,8037,0.328231927,TRUE,morning
61856,Tsing Yi Garden,青怡花園,500,4093,0.122159785,FALSE,non-morning
61864,Tsuen King Garden,荃景花園,1268,8314,0.152513832,FALSE,non-morning
61865,Tsuen Tak Gardens,荃德花園,322,2405,0.133887734,FALSE,non-morning
61866,Tsuen Wan Centre,荃灣中心,1570,10542,0.148928097,FALSE,non-morning
20131,Tsui Chuk Garden,翠竹花園,2233,10071,0.221725747,TRUE,morning
20132,Tsui Lai Garden,翠麗花園,939,5445,0.172451791,FALSE,non-morning
10168,Tsui Lam Estate,翠林邨,3792,13364,0.283747381,TRUE,morning
20133,Tsui Ning Garden,翠寧花園,1859,5871,0.316641117,TRUE,morning
10170,Tsui Ping North Estate,翠屏北邨,4053,14060,0.28826458,TRUE,morning
10171,Tsui Ping South Estate,翠屏南邨,3089,13467,0.229375511,TRUE,morning
10172,Tsui Wan Estate,翠灣邨,1570,6288,0.249681934,TRUE,morning
10173,Tsz Ching Estate,慈正邨,5431,21845,0.248615244,TRUE,morning
10174,Tsz Hong Estate,慈康邨,1009,7079,0.142534256,FALSE,non-morning
10175,Tsz Lok Estate,慈樂邨,4249,17833,0.238266136,TRUE,morning
10176,Tsz Man Estate,慈民邨,1266,5936,0.213274933,TRUE,morning
20134,Tsz Oi Court,慈愛苑,2015,11614,0.173497503,FALSE,non-morning
61878,Tuen Mun Town Plaza,屯門市廣場,547,4677,0.116955313,FALSE,non-morning
20136,Tung Chun Court,東駿苑,966,3242,0.29796422,TRUE,morning
61882,Tung Chung Crescent,東堤灣畔,870,5112,0.170187793,FALSE,non-morning
20137,Tung Hei Court,東熹苑,1787,6262,0.285372086,TRUE,morning
20138,Tung Tao Court,東濤苑,685,3506,0.19537935,FALSE,non-morning
10178,Tung Tau (2) Estate,東頭（２）邨,4253,15440,0.275453368,TRUE,morning
10215,Tung Wui Estate,東滙邨,1297,5280,0.245643939,TRUE,morning
20140,Tung Yuk Court,東旭苑,921,5052,0.182304038,FALSE,non-morning
10179,Un Chau Estate,元州邨,6034,18670,0.323192287,TRUE,morning
10180,Upper Ngau Tau Kok Estate,牛頭角上邨,4718,15831,0.298022867,TRUE,morning
10181,Upper Wong Tai Sin Estate,黃大仙上邨,3051,12176,0.250574901,TRUE,morning
61913,Uptown Plaza,新達廣場,584,2971,0.196566813,FALSE,non-morning
40018,Verbena Heights,茵怡花園,1564,6431,0.243197014,TRUE,morning
61925,Vianni Cove,慧景軒,475,2995,0.158597663,FALSE,non-morning
61941,Villa Athena,雅典居,284,3164,0.089759798,FALSE,non-morning
61954,Villa Esplanada,灝景灣,1327,8277,0.160323789,FALSE,non-morning
61979,Vision City,萬景峯,671,4190,0.160143198,FALSE,non-morning
61984,Vista Paradiso,聽濤雅苑,968,6437,0.150380612,FALSE,non-morning
10182,Wah Fu (1) Estate,華富（１）邨,3510,12233,0.286928799,TRUE,morning
10183,Wah Fu (2) Estate,華富（２）邨,3006,12664,0.237365761,TRUE,morning
10184,Wah Kwai Estate,華貴邨,2362,9321,0.253406287,TRUE,morning
10185,Wah Lai Estate,華荔邨,795,4041,0.196733482,FALSE,non-morning
10186,Wah Ming Estate,華明邨,2698,14179,0.190281402,FALSE,non-morning
10187,Wah Sum Estate,華心邨,905,4344,0.208333333,TRUE,morning
10189,Wan Tau Tong Estate,運頭塘邨,1443,7039,0.20500071,TRUE,morning
10190,Wan Tsui Estate,環翠邨,2727,9532,0.286088963,TRUE,morning
20142,Wang Fuk Court,宏福苑,1701,4643,0.366357958,TRUE,morning
10191,Wang Tau Hom Estate,橫頭磡邨,4175,16794,0.248600691,TRUE,morning
62023,Well On Garden,慧安園,342,3091,0.110643805,FALSE,non-morning
62033,Whampoa Estate,黃埔新邨,1281,6647,0.19271852,FALSE,non-morning
62034,Whampoa Gardens,黃埔花園,5857,30038,0.194986351,FALSE,non-morning
10216,Wing Cheong Estate,榮昌邨,546,3620,0.150828729,FALSE,non-morning
20143,Wing Fai Centre,榮輝中心,632,3755,0.168308921,FALSE,non-morning
20144,Wing Fok Centre,榮福中心,911,4722,0.192926726,FALSE,non-morning
10192,Wo Che Estate,禾輋邨,4596,18384,0.25,TRUE,morning
10193,Wo Lok Estate,和樂邨,1443,4280,0.337149533,TRUE,morning
20145,Wo Ming Court,和明苑,843,4792,0.175918197,FALSE,non-morning
62078,Wonderland Villas,華景山莊,984,4446,0.221322537,TRUE,morning
10194,Wu King Estate,湖景邨,2654,12986,0.204373941,TRUE,morning
62091,Wyler Gardens,偉恒昌新村,1483,6746,0.219833976,TRUE,morning
20146,Yan Ming Court,欣明苑,1134,4733,0.239594338,TRUE,morning
10195,Yan On Estate,欣安邨,877,6348,0.138153749,FALSE,non-morning
20147,Yan Shing Court,欣盛苑,1151,6661,0.172796877,FALSE,non-morning
10220,Yan Tin Estate,欣田邨,1128,13203,0.085435128,FALSE,non-morning
20149,Yat Nga Court,逸雅苑,676,3108,0.217503218,TRUE,morning
10196,Yat Tung (1) Estate,逸東（１）邨,2821,19161,0.147226136,FALSE,non-morning
10197,Yat Tung (2) Estate,逸東（２）邨,2388,19093,0.125072016,FALSE,non-morning
20150,Yau Chui Court,油翠苑,1004,4499,0.223160702,TRUE,morning
10198,Yau Lai Estate,油麗邨,4525,21799,0.207578329,TRUE,morning
10199,Yau Oi Estate,友愛邨,6498,24307,0.267330399,TRUE,morning
10200,Yau Tong Estate,油塘邨,2457,10026,0.245062837,TRUE,morning
10217,Yee Ming Estate,怡明邨,744,5479,0.135791203,FALSE,non-morning
20154,Yee Nga Court,怡雅苑,1041,5204,0.200038432,TRUE,morning
20158,Ying Ming Court,英明苑,1080,4820,0.22406639,TRUE,morning
10225,Ying Tung Estate,迎東邨,1022,9219,0.110858011,FALSE,non-morning
10201,Yiu On Estate,耀安邨,3268,12922,0.252902028,TRUE,morning
10202,Yiu Tung Estate,耀東邨,3648,15061,0.242214992,TRUE,morning
62122,YOHO Midtown,YOHO Midtown,292,5133,0.056886811,FALSE,non-morning
